node_id,row_id,label,name,properties
1,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Tý,"{""name"": ""Tý""}"
2,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Sửu,"{""name"": ""Sửu""}"
3,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Dần,"{""name"": ""Dần""}"
4,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Mão,"{""name"": ""Mão""}"
5,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Thìn,"{""name"": ""Thìn""}"
6,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Tỵ,"{""name"": ""Tỵ""}"
7,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Ngọ,"{""name"": ""Ngọ""}"
8,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Mùi,"{""name"": ""Mùi""}"
9,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Thân,"{""name"": ""Thân""}"
10,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Dậu,"{""name"": ""Dậu""}"
11,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Tuất,"{""name"": ""Tuất""}"
12,019a9539-f39e-7d23-972d-b74c67ba07d1,Person,Hợi,"{""name"": ""Hợi""}"
13,019a9539-f39e-7d23-972d-b74c67ba07d1,Event,Tử vi 12 con giáp,"{""name"": ""Tử vi 12 con giáp"", ""summary"": ""Tử vi hàng ngày""}"
14,019a9539-f39e-7d23-972d-b74c67ba07d1,Organization,Tử vi 12 con giáp,"{""name"": ""Tử vi 12 con giáp""}"
15,019a9539-fdc8-78f2-af9f-ab04ff83ff47,Person,Nguyễn Ngọc Toàn,"{""name"": ""Nguyễn Ngọc Toàn"", ""role"": ""Chủ tịch UBND xã Chư Prông"", ""position"": ""Chủ tịch UBND xã""}"
16,019a9539-fdc8-78f2-af9f-ab04ff83ff47,Person,Phan Thị Nga,"{""name"": ""Phan Thị Nga"", ""role"": ""Hiệu trưởng Trường tiểu học Phan Chu Trinh"", ""position"": ""Hiệu trưởng""}"
17,019a9539-fdc8-78f2-af9f-ab04ff83ff47,Organization,UBND xã Chư Prông,"{""name"": ""UBND xã Chư Prông"", ""addresss"": ""Tỉnh Gia Lai"", ""profession"": ""Cơ quan hành chính cấp xã""}"
